Código;Departamento;Código;Municipio;Población total;Maya;Garífuna;Xinka;Afrodescendiente / Creole / Afromestizo;Ladina(o);Extranjera(o);
13;Huehuetenango;1318;San Mateo Ixtatán;   43 810;   42 798;    39;-;    23;    934;    16;
13;Huehuetenango;1319;Colotenango;   34 834;   34 300;    17;-;    10;    507;-;
13;Huehuetenango;1320;San Sebastián Huehuetenango;   32 608;   31 220;    19;    2;    16;   1 350;    1;
13;Huehuetenango;1321;Tectitán;   10 830;   2 047;    12;-;    34;   8 725;    12;
13;Huehuetenango;1322;Concepción Huista;   18 915;   17 756;    27;-;    7;   1 123;    2;
13;Huehuetenango;1323;San Juan Ixcoy;   23 204;   21 975;    16;    1;    116;   1 093;    3;
13;Huehuetenango;1324;San Antonio Huista;   16 697;   4 353;    13;-;    5;   12 311;    15;
13;Huehuetenango;1325;San Sebastián Coatán;   20 905;   20 854;    7;    2;    1;    23;    18;
13;Huehuetenango;1326;Santa Cruz Barillas;   100 849;   86 177;    60;    1;    185;   14 416;    10;
13;Huehuetenango;1327;Aguacatán;   49 607;   43 967;    39;    1;    30;   5 561;    9;
13;Huehuetenango;1328;San Rafael Petzal;   11 271;   11 002;    5;-;    4;    259;    1;
13;Huehuetenango;1329;San Gaspar Ixchil;   8 142;   8 122;    1;-;-;    19;-;
13;Huehuetenango;1330;Santiago Chimaltenango;   10 507;   10 464;    5;-;    1;    35;    2;
13;Huehuetenango;1331;Santa Ana Huista;   9 413;   2 823;    9;-;    2;   6 572;    7;
13;Huehuetenango;1332;Unión Cantinil;   15 900;    681;    3;-;    5;   15 206;    5;
13;Huehuetenango;1333;Petatán;   6 366;   5 173;    4;-;    2;   1 185;    2;
14;Quiché;1401;Santa Cruz del Quiché;   78 279;   65 335;    41;    5;    126;   12 728;    44;
14;Quiché;1402;Chiché;   29 646;   28 766;    15;    3;    4;    857;    1;
14;Quiché;1403;Chinique;   11 382;   9 235;    5;-;-;   2 138;    4;
14;Quiché;1404;Zacualpa;   32 750;   31 264;    21;    2;    32;   1 422;    9;
14;Quiché;1405;Chajul;   46 658;   42 627;    40;    2;    45;   3 938;    6;
14;Quiché;1406;Santo Tomás Chichicastenango;   141 567;   139 900;    77;    7;    53;   1 478;    52;
14;Quiché;1407;Patzité;   6 144;   6 046;-;-;    6;    91;    1;
14;Quiché;1408;San Antonio Ilotenango;   25 590;   25 458;    17;-;    9;    103;    3;
14;Quiché;1409;San Pedro Jocopilas;   31 950;   30 207;    23;-;    4;   1 712;    4;
14;Quiché;1410;Cunén;   41 455;   37 619;    14;-;    86;   3 736;-;
14;Quiché;1411;San Juan Cotzal;   31 532;   30 298;    28;-;    90;   1 108;    8;
14;Quiché;1412;Joyabaj;   82 369;   75 295;    41;    4;    45;   6 931;    53;
14;Quiché;1413;Santa María Nebaj;   72 686;   68 612;    46;-;    191;   3 820;    17;
14;Quiché;1414;San Andrés Sajcabajá;   24 981;   22 251;    7;-;    11;   2 712;-;
14;Quiché;1415;San Miguel Uspantán;   65 872;   54 380;    40;    7;    634;   10 804;    7;
14;Quiché;1416;Sacapulas;   52 620;   50 813;    18;    1;    30;   1 753;    5;
14;Quiché;1417;San Bartolomé Jocotenango;   13 568;   13 371;    6;-;    3;    186;    2;
14;Quiché;1418;Canillá;   12 172;   5 560;    19;    2;    19;   6 553;    19;
14;Quiché;1419;Chicamán;   39 731;   31 162;    21;-;    11;   8 536;    1;
14;Quiché;1420;Playa Grande Ixcán;   99 470;   76 936;    73;    25;    278;   22 102;    56;
14;Quiché;1421;Pachalum;   8 839;   1 365;    4;    1;    13;   7 442;    14;
